Retailer,Brand,Segment,Gender,Category,Product Types,Details,Normalized Color,Color Option Name,Activewear,Pattern,Full Price ($),SKUs Available,Season,Description,Care information,Sizes,Return-Risk Probability
Primark - non-transactional site (ES),Primark,Value,Women,Outerwear,"Jackets > Other Jackets, Jackets","Waterproof, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Neutral,Beige,Non-activewear,Plain,58.62,5/5,ss25,"A waterproof with collar, belt and open pockets
991115531118",,"40/42, 38/40, 44/46, 34/36, 48/50",
Primark - non-transactional site (ES),Primark,Value,Women,Hosiery,"Socks, Socks > Long","5-Pack, Apparel, Fabrication, Multi-Packs",Grey,Grey,Non-activewear,Plain,4.71,2/2,ss25,"This pack is the clearst definition of comfortable socks
918,107967706",,"35-38, 39-42",
Primark - non-transactional site (DE),Primark,Value,Women,Nightwear,Pajama Sets,"Apparel, Sleeves, Fabrication, Multi-Packs",Purple,Fig,Non-activewear,Plain,19.96,7/7,ss25,A combination of pajama shirt and trousers for your nightwear collection! ,Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Im Wäschenetz waschen; Auf links waschen; Auf niedriger Stufe bügeln; Auf links bügeln,"32/34, 50/52, 40/42, 46/48, 42/44, 38/40, 34/36",
Primark - non-transactional site (ES),Primark,Value,Women,Nightwear,"Pajama Bottoms > Shorts, Pajama Bottoms","Apparel, Sleeves, Fabrication, Sleeveless, Multi-Packs",Pink,Pink,Non-activewear,Stripes,11.78,7/7,ss25,"With tank top and shorts with elastic waist
911,130,706",,"48/50, 40/42, 32/34, 52/54, 44/46, 34/36, 38/40",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,"Trousers, Trousers > Wide Leg","Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Non-activewear,Plain,14.09,5/5,ss25,"A slip pants with wide legs, side pockets and elastic waistband",Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Auf links waschen; Auf links bügeln,"S, L, XL, XS, M",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms",Blue,Light blue,Non-activewear,Plain,23.48,7/7,ss25,"A sweatpants made of soft denim with drawstring, wide leg and pockets","Maximale Temperatur 30 °C; Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Auf links waschen; Ähnliche Farben zusammen waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","42/44, 38/40, 50/52, 46/48, 32/34, 34/36, 40/42",
Primark - non-transactional site (DE),Primark,Value,Women,Hosiery,"Socks, Socks > Long","Apparel, Fabrication, Multi-Packs",Black,Black,Non-activewear,Plain,4.11,2/2,ss25,"Two pairs of socks with a high cotton content and a sweet, ruffled hem",Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Vor dem ersten Gebrauch waschen,"39-42, 35-38",
Primark - non-transactional site (DE),Primark,Value,Women,Underwear,"Bras > Other Bras, Bras","Apparel, Fabrication, Underwear / Swim, Multi-Packs",White,White,Non-activewear,Plain,7.04,28/28,ss25,Complete your essentials collection with this versatile multi-way bra,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Nur Handwäsche; Ähnliche Farben zusammen waschen,"75C, 75A, 75E, 80D, 85E, 70A, 70F, 75D, 90E, 90B, 85B, 80C, 75F, 70E, 70C, 90C, 85C, 75B, 80E, 90D, 70D, 80A, 90F, 80B, 70B, 80F, 85F, 85D",
Primark - non-transactional site (DE),Primark,Value,Girls,Footwear,"Sandals > Other Sandals, Sandals","Flat, Fabrication, Footwear",Multicolour,Multi,Non-activewear,Product has no pattern data,4.70,6/6,ss25,A pair of beach sandals with multicolored striped straps,,"33/34, 35, 32, 36, 38, 37",
Primark - non-transactional site (DE),Primark,Value,Girls,Hosiery,"Tights, Tights > Tights","Apparel, Fabrication, Multi-Packs",Pink,Pink,Non-activewear,Spots,5.87,5/5,ss25,Two tights with Dobby dot pattern - perfect for special occasions,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Nicht bügeln; Vor dem ersten Gebrauch waschen; Ähnliche Farben zusammen waschen; nicht bügeln,"6-12M, 0-6M, 18-24M, 12-18M, 24-36M",
Primark - non-transactional site (DE),Primark,Value,Women,Underwear,"Underpants/Knickers, Underpants/Knickers > Briefs/Panty","3-Pack, Apparel, Fabrication, Underwear / Swim, Multi-Packs",Neutral,Natural colors,Non-activewear,Lace,8.22,5/5,ss25,"A pack of three Brazil briefs with a flattering, seamless design",Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Vor dem ersten Gebrauch waschen,"40/42, 34/36, 38/40, 42/44, 46/48",
Primark - non-transactional site (DE),Primark,Value,Women,Hosiery,"Socks, Socks > Long","7-Pack, Apparel, Fabrication, Multi-Packs",White,White,Non-activewear,Plain,4.11,2/2,ss25,Seven socks with a high cotton content for every day of the week,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Ähnliche Farben zusammen waschen; Im Wäschenetz waschen; Vor dem ersten Gebrauch waschen,"39-42, 35-38",
Primark - non-transactional site (DE),Primark,Value,Women,Hosiery,"Socks, Socks > Other Socks","5-Pack, Apparel, Fabrication, Multi-Packs",White,White,Non-activewear,Plain,4.11,2/2,ss25,A multipack crew socks with ribbed cuffs,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Vor dem ersten Gebrauch waschen,"35-38, 39-42",
Primark - non-transactional site (DE),Primark,Value,Women,Underwear,Underwear Sets,"Apparel, Fabrication, Underwear / Swim, Multi-Packs",White,White,Non-activewear,Lace,7.04,6/6,ss25,This microfiber underwear set with triangle bralette bra and thong is a must-have for every wardrobe! ,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Auf niedriger Stufe bügeln; Vor dem ersten Gebrauch waschen,"34/36, 46/48, 42/44, 40/42, 38/40, 32/34",
Primark - non-transactional site (DE),Primark,Value,Women,Nightwear,Pajama Sets,"Apparel, Sleeves, Fabrication, Multi-Packs",Blue,Light blue,Non-activewear,Stripes,5.87,7/7,ss25,Patterned pajama shorts with small slits at the hem,Nicht bleichen; Nicht chemisch reinigen; Nicht im Trockner trocknen; Ähnliche Farben zusammen waschen; Auf niedriger Stufe bügeln; Maximale Temperatur 30 °C,"32/34, 42/44, 40/42, 38/40, 50/52, 46/48, 34/36",
Primark - non-transactional site (DE),Primark,Value,Women,Underwear,"Underpants/Knickers, Underpants/Knickers > Briefs/Panty","Mini Length, 3-Pack, Apparel, Fabrication, Underwear / Swim, Multi-Packs",Pink,Pink,Non-activewear,Plain,8.22,5/5,ss25,A pack of three briefs in three different colors,Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Im Wäschenetz waschen; Vor dem ersten Gebrauch waschen,"38/40, 42/44, 46/48, 40/42, 34/36",
Primark - non-transactional site (DE),Primark,Value,Women,Underwear,"Bras > Other Bras, Bras","2-Pack, Apparel, Fabrication, Underwear / Swim, Multi-Packs",Grey,Heather gray,Non-activewear,Plain,11.74,26/26,ss25,Two bustiers with high cotton content and a underbust band with logo,Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; nicht bügeln; Nicht bügeln; Im Wäschenetz waschen,"75AA, 65D, 65B, 85C, 75C, 75B, 70B, 75A, 85B, 85D, 80B, 60A, 65C, 65A, 75D, 60AA, 70D, 60B, 70A, 70C, 85A, 80A, 80D, 65AA, 70AA, 80C",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Leggings,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Performance,Plain,19.96,6/6,ss25,"Figure-hugging performance Kappa leggings, perfect for active days",Nicht trocknergeeignet; Maximale Temperatur 40 °C; Auf niedriger Stufe bügeln; Nicht chemisch reinigen; Ähnliche Farben zusammen waschen; Im Wäschenetz waschen; Auf links bügeln,"XXS, L, XS, M, XL, S",
Primark - non-transactional site (DE),Primark,Value,Boys,Accessories,"Formal Accessories, Formal Accessories > Tie",Fabrication,Red,Red,Non-activewear,Conversational,8.22,1/1,ss25,A child's screen withider-Man design,Abwischbar,One Size,
Primark - non-transactional site (DE),Primark,Value,Boys,Tops,T-Shirts,"Short Sleeve, Round Neck, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Neutral,Stone colors,Non-activewear,Conversational,4.11,8/8,ss25,A short-sleeved T-shirt with a round neck made of textured piqué,Auf niedriger Stufe bügeln; Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Ähnliche Farben zusammen waschen; Vor dem ersten Tragen waschen; Ähnliche Farben zusammen waschen,"7-8Y, 10-11Y, 11-12Y, 13-14Y, 12-13Y, 9-10Y, 14-15Y, 8-9Y",
Primark - non-transactional site (DE),Primark,Value,Women,Nightwear,"Pajama Tops, Pajama Tops > Other Pajama Tops","Apparel, Sleeves, Fabrication, Multi-Packs",Blue,Light blue,Non-activewear,Conversational,12.91,7/7,ss25,A ribbed pajamas top with Disney stitching design,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Ähnliche Farben zusammen waschen; Maximale Temperatur 30 °C; Auf links waschen; Auf niedriger Stufe bügeln; Auf links bügeln,"32/34, 40/42, 34/36, 50/52, 46/48, 42/44, 38/40",
Primark - non-transactional site (DE),Primark,Value,Girls,Tops,T-Shirts,"Round Neck, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",White,White,Non-activewear,Conversational,2.11,7/7,ss25,A T-shirt with a round neck and pretty heart print,Auf niedriger Stufe bügeln; Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Vor dem ersten Gebrauch waschen; Ähnliche Farben zusammen waschen,"9-12M, 18-24M, 6-9M, 0-3M, 24-36M, 12-18M, 3-6M",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Grey,Grey,Non-activewear,Plain,21.13,7/7,ss25,"A sweatpants with elastic waistband, adjustable drawstring and turned-up hem","Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 30 °C; Auf links waschen; Im Wäschenetz waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","M, L, XS, XL, XXS, XXL, S",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Neutral,Stone colors,Non-activewear,Plain,21.13,7/7,ss25,"A sweatpants with elastic waistband, adjustable drawstring and turned-up hem","Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 30 °C; Auf links waschen; Im Wäschenetz waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","XS, XXS, S, L, XXL, XL, M",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Navy,Navy,Non-activewear,Plain,21.13,7/7,ss25,"A sweatpants with elastic waistband, adjustable drawstring and turned-up hem","Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 30 °C; Auf links waschen; Im Wäschenetz waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","S, XL, M, L, XS, XXS, XXL",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Green,Khaki,Non-activewear,Plain,21.13,7/7,ss25,"A sweatpants with elastic waistband, adjustable drawstring and turned-up hem","Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 30 °C; Auf links waschen; Im Wäschenetz waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","XXS, L, XS, S, M, XL, XXL",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Pink,Pink,Non-activewear,Plain,21.10,7/7,ss25,"A sweatpants with elastic waistband, adjustable drawstring and turned-up hem","Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Maximale Temperatur 30 °C; Auf links waschen; Im Wäschenetz waschen; Kontakt mit hellen Farben vermeiden, um Verfärbungen zu vermeiden; Feucht in Form ziehen; Auf Wäscheleine trocknen","XXL, XXS, XL, L, S, XS, M",
Primark - non-transactional site (DE),Primark,Value,Women,Hosiery,"Socks, Socks > Long","3-Pack, Apparel, Fabrication, Multi-Packs",Blue,Light blue,Non-activewear,Conversational,5.87,2/2,ss25,A pack of three Hello Kitty socks with ruffled hem and high cotton content,Nicht bleichen; Nicht chemisch reinigen; Nicht im Trockner trocknen; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Vor dem ersten Gebrauch waschen,"35-38, 39-42",
Primark - non-transactional site (DE),Primark,Value,Boys,Accessories,"Hats > Other Hats, Hats",Fabrication,Multicolour,Multi,Non-activewear,Graphics,9.39,4/4,ss25,This cap with python design and contrasting color screen is an absolute must-have for your accessories collection! ,Nicht waschen; Nicht bleichen; Nicht bügeln; Nicht chemisch reinigen; Nicht trocknergeeignet,"2-4Y, 4-7Y, 7-10Y, 10+Y",
Primark - non-transactional site (DE),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Grey,Heather gray,Non-activewear,Plain,17.61,7/7,ss25,A sweatpants with wide legs and drawstring,Ähnliche Farben zusammen waschen; Nicht chemisch reinigen; Nicht trocknergeeignet; Auf niedriger Stufe bügeln; Nicht bleichen; Ähnliche Farben zusammen waschen; Auf links waschen,"M, XS, XL, S, XXS, L, XXL",
Primark - non-transactional site (DE),Primark,Value,Women,Hosiery,"Socks, Socks > Other Socks","5-Pack, Apparel, Fabrication, Multi-Packs",White,White,Lifestyle,Plain,5.28,2/2,ss25,Complete your essentials with these ribbed sports socks,Nicht bleichen; Nicht chemisch reinigen; Nicht trocknergeeignet; Maximale Temperatur 40 °C; Ähnliche Farben zusammen waschen; Nicht bügeln,"39-42, 35-38",
Primark - non-transactional site (DE),Primark,Value,Women,Accessories,"Hair Accessories, Hair Accessories > Head Bands","2-Pack, Fabrication",Neutral,Natural colors,Non-activewear,Plain,4.11,1/1,ss25,These zigzag headbands are delivered in a practical 2-pack,,One Size,
Primark - non-transactional site (DE),Primark,Value,Women,Accessories,Hair Accessories,Fabrication,Brown,Brown,Non-activewear,Animal,5.28,1/1,ss25,A hair ring made of synthetic resin with initials,,One Size,
Primark - non-transactional site (DE),Primark,Value,Women,Accessories,"Hair Accessories, Hair Accessories > Head Bands","2-Pack, Fabrication",Brown,Brown,Non-activewear,Aztec,4.11,1/1,ss25,These zigzag headbands are delivered in a practical 2-pack,,One Size,
Primark - non-transactional site (US),Primark,Value,Men,Footwear,"Trainers/Sneakers > High Top, Trainers/Sneakers","High Top, Flat, Fabrication, Footwear",Black,Black,Lifestyle,Product has no pattern data,22.00,7/7,ss25,"Versatile minimalist high tops with classic laces and a rubber sole
Sneakers Closure: Laces
Print: Solid Color Fire",Safety: WARNING! Keep away from,"9, 8, 12, 10, 11, 7, 13",
Primark - non-transactional site (US),Primark,Value,Girls,Footwear,"Trainers/Sneakers > Lifestyle, Trainers/Sneakers","Flat, Fabrication, Footwear",Multicolour,Multi,Non-activewear,Product has no pattern data,19.00,11/11,ss25,"Multicolor low tops with hook and loop straps
Sneakers Closure: Velcro
Print: Color",,"9, 8, 3, 7, 2, 1, 11, 6, 12, 10, 13",
Primark - non-transactional site (US),Primark,Value,Boys,Footwear,"Trainers/Sneakers > Lifestyle, Trainers/Sneakers","Flat, Fabrication, Footwear",White,White,Lifestyle,Product has no pattern data,12.00,11/11,ss25,"Low top sneakers with double straps and contrast trim
Sneakers Closure: Velcro
Print: Solid",,"2, 6, 12, 1, 8, 7, 9, 11, 13, 10, 3",
Primark - non-transactional site (US),Primark,Value,Women,Underwear,Shapewear,"High Rise, 3-Pack, Apparel, Fabrication, Underwear / Swim, Multi-Packs",Brown,Mocha,Non-activewear,Lace,8.00,6/6,ss25,"A three-pack of high waist briefs in a seamless design
Underwear Print: Solid Color","Do not bleach; Do not dry-clean; Do not tumble dry; Maximum Temperature 104*F; Wash similar colors together; Wash before first use
Max temperature 100F/40C
Do not bleach
Do not dry clean
Wash similar colors together
Do not tumble dry
Wash inside out
Cool iron
Do not iron trim.
: 94% Nylon 6% Elastane Fire
Safety: WARNING! Keep away from","10/12, 6/8, 2/4, 14/16, 18/20, 8/10",
Primark - non-transactional site (US),Primark,Value,Women,Accessories,"Hats > Caps, Hats",Fabrication,Neutral,Stone,Non-activewear,Plain,4.00,1/1,ss25,"A classic baseball cap with an adjustable strap
Gloves and Scarves Print: Solid Color",: 65% Polyester 35%,One Size,
Primark - non-transactional site (US),Primark,Value,Women,Accessories,"Jewellery > Bracelets, Jewellery",Fabrication,Yellow,Yellow,Non-activewear,Floral,5.00,1/1,ss25,"A metallic bracelet with abstract floral charms
Jewelry Print: Solid Color",": 50% Zinc, 25% Steel, 10% Brass, 10% Plastic, 5%",One Size,
Primark - non-transactional site (US),Primark,Value,Men,Nightwear,Pajama Sets,"Short Sleeve, Apparel, Sleeves, Fabrication, Round Neck, Multi-Packs",Grey,Gray,Non-activewear,Plain,17.00,5/5,ss25,"Textured fabric short sleeve top and drawstring pants PJs
Sleepwear Neckline: Crew Sleeve
Length: Short sleeve Model
Size: M
Closure: Drawstring
Print: Striped","Do not bleach
Do not dry clean
Do not tumble dry
Wash similar colors together
Iron on the reverse
Wash inside out
Max temperature 85F/30C
Avoid contact with light colors: color may transfer
Cool iron.; Do not dry clean
Cool iron
Max Temperature 85F/30C
Wash inside out in a mesh bag
Reshape while damp
Iron on the reverse.; Do not tumble dry; Wash similar colors together; Maximum Temperature 30*C; Warm Iron; Reshape while damp; Wash Inside Out; Iron on the reverse
: TOP - 65% Polyester 32% Cotton 3% Elastane BOTTOMS - 100% Cotton Fire
Safety: WARNING! Keep away from","XS, XL, M, XXL, L",
Primark - non-transactional site (US),Primark,Value,Men,Hosiery,"Socks, Socks > Other Socks","5-Pack, Apparel, Fabrication, Multi-Packs",Grey,Gray,Non-activewear,Plain,10.00,2/2,ss25,"Five pairs of essential ribbed ankle socks
Socks Print: Solid Color
SUBSTANCE: dimethyloctadecyl [3-(trimethoxysilyl) propyl] ammonium","Do not bleach
Do not dry clean
Do not tumble dry
Wash before first use
Wash similar colors together
Max temperature 85F/30C
Cool iron
Reshape whilst damp.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash similar colors together; Do not Iron
: BLUE PACK/BROWN PACK/GREEN PACK - 99% Polyester 1% Elastane GRAY PACK - 98% Polyester 1% Elastane 1% Nylon BIOCIDALLY ACTIVE","7-9, 10-13",
Primark - non-transactional site (US),Primark,Value,Men,Hosiery,"Socks, Socks > Other Socks","5-Pack, Apparel, Fabrication, Multi-Packs",Blue,Blue,Non-activewear,Plain,10.00,2/2,ss25,"Five pairs of essential ribbed ankle socks
Socks Print: Solid Color
SUBSTANCE: dimethyloctadecyl [3-(trimethoxysilyl) propyl] ammonium","Do not bleach
Do not dry clean
Do not tumble dry
Wash before first use
Wash similar colors together
Max temperature 85F/30C
Cool iron
Reshape whilst damp.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash similar colors together; Do not Iron
: BLUE PACK/BROWN PACK/GREEN PACK - 99% Polyester 1% Elastane GRAY PACK - 98% Polyester 1% Elastane 1% Nylon BIOCIDALLY ACTIVE","10-13, 7-9",
Primark - non-transactional site (US),Primark,Value,Girls,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Pink,Pink,Non-activewear,Conversational,7.00,7/7,ss25,"Drawstring cuffed joggers with a cute Minnie Mouse print
Minnie and Friends Character: Disney's Minnie Mouse
Print: Print","Cool iron
Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 100°F/40°C
Wash similar colors together
Wash in mesh bag.; Do not bleach
Wash before first use
Max temperature 85F/30C
Reshape whilst damp.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash before first use; Wash similar colors together
: 60% Cotton 40% Polyester Fire
Safety: WARNING! Keep away from","24-36M, 3-6M, 9-12M, 18-24M, 6-9M, 12-18M, 0-3M",
Primark - non-transactional site (US),Primark,Value,Girls,Footwear,"Shoes > Ballerina, Shoes","Flat, Fabrication, Footwear",Pink,Pink,Non-activewear,Product has no pattern data,8.00,13/13,ss25,"Laser cut ballerinas with stretch straps and bow toppers
Flats Closure: None",,"3, 9, 4, 1, 2, 5, 13, 6, 11, 8, 10, 7, 12",
Primark - non-transactional site (US),Primark,Value,Girls,Accessories,"Bags > Backpack, Bags",Fabrication,Purple,Lilac,Non-activewear,Plain,16.00,1/1,ss25,"A top handle Kappa backpack with adjustable straps and zip compartments
Backpacks Brands Kappa Closure: Zip Strap
Type: 2 x Shoulder Straps
Print: Logo
LINING - 100%","Do not bleach; Do not dry-clean; Do not tumble dry; Do not wash
Do not bleach
Do not tumble dry
Do not iron
Do not dry clean
Do not iron magnets.; Wipe clean
Do not wash Do not bleach
Do not wring or twist
Do not dry clean.; Do not Iron
: BODY - 100% Polyester",One Size,
Primark - non-transactional site (US),Primark,Value,Men,Hosiery,"Socks, Socks > Other Socks","3-Pack, Apparel, Fabrication, Multi-Packs",Multicolour,Multi,Non-activewear,Graphics,10.00,2/2,ss25,"Three pairs of crew-length socks with The Simpsons character designs
Socks Disney The Simpsons Character: Homer Simpson
Print: Print","Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 85°F/30°C
Wash similar colors together
Cool iron
Wash inside out
Reshape while damp
Do not wring or twist.; Do not dry clean
Iron on the reverse.; Do not tumble dry
Rinse before washing.; Maximum Temperature 104*F; Wash similar colors together
: 72% Polyester 18% Cotton 5% Elastodiene 3% Nylon 2% Elastane Fire
Safety: WARNING! Keep away from","10-13, 7-9",
Primark - non-transactional site (US),Primark,Value,Girls,Tops,Cardigans,"Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Neutral,Ivory,Non-activewear,Plain,7.00,7/7,ss25,"An elegant new season add: this scalloped edge cardi with pearly buttons
Sweaters and Cardigans Neckline: Round Sleeve
Length: Full Length No hood
Print: Solid Color","Cool iron
Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 100°F/40°C
Wash similar colors together
Wash in mesh bag.; Do not bleach
Wash before first use
Max temperature 85F/30C
Reshape whilst damp.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash before first use; Wash similar colors together
: 100% Cotton Fire
Safety: WARNING! Keep away from","12-18M, 6-9M, 9-12M, 0-3M, 18-24M, 3-6M, 24-36M",
Primark - non-transactional site (US),Primark,Value,Girls,Tops,Hoodies,"Apparel, Fits, Sleeves, Fabrication, Tops, Round Neck, Multi-Packs",Pink,Pink,Non-activewear,Conversational,7.00,7/7,ss25,"A pullover sweatshirt with sweet Minnie Mouse design
Minnie and Friends Character: Disney's Minnie Mouse
Neckline: Crew Sleeve
Length: Full Length No hood
Print: Print","Cool iron
Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 100°F/40°C
Wash similar colors together
Wash in mesh bag.; Do not bleach
Iron on the reverse
Max temperature 85F/30C
Wash before first use
Warm iron
Wash inside out.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash before first use; Wash similar colors together
: 60% Cotton 40% Polyester Fire
Safety: WARNING! Keep away from","3-6M, 12-18M, 6-9M, 9-12M, 24-36M, 18-24M, 0-3M",
Primark - non-transactional site (US),Primark,Value,Boys,Suits sets,Sets ,"Short Sleeve, Apparel, Fabrication, Multi-Packs",Blue,Blue,Non-activewear,Conversational,8.00,7/7,ss25,"An adorable T-shirt and shorts with a sweet sailboat print
Sets and Outfits Neckline: Round Sleeve
Length: Short sleeve
Length: Full Length Set
Print: Printed","Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 85°F/30°C
Wash similar colors together
Cool iron
Iron on the reverse
Wash inside out.; Do not dry clean
Max temperature 100°F/40°C
Wash dark colors separately
Do not wring or twist.; Do not tumble dry; Wash before first use
Max temperature 100F/40C
Wash inside out
Do not iron trim.; Wash similar colors together; Max temperature 85F/30C
Wash separately
Wash in a mesh bag; Wash Inside Out; Warm Iron; Iron on the reverse
: TOP/BOTTOM - 100% Cotton Fire
Safety: WARNING! Keep away from","18-24M, 6-9M, 12-18M, 3-6M, 24-36M, 9-12M, 0-3M",
Primark - non-transactional site (US),Primark,Value,Boys,Suits sets,Sets ,"Apparel, Fabrication, Multi-Packs",Blue,Blue,Non-activewear,Conversational,16.00,5/5,ss25,"A sweet Stitch newborn onesie, bodysuit and hat
s Stitch Character: Disney's Stitch, Angel
Closure: Zip Set
Print: Print","Do not bleach; Do not dry-clean; Iron on the reverse; Maximum Temperature 40*C; Wash before first use; Wash similar colors together; Tumble dry at lower temperature setting; Warm Iron; Wash Inside Out
: 100% Cotton Fire
Safety: WARNING! Keep away from","3-6M, 10lbs, 6-9M, 7.5lbs, 0-3M",
Primark - non-transactional site (US),Primark,Value,Girls,Bottoms,Leggings,"3-Pack, Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Red,Red,Non-activewear,Conversational,7.00,7/7,ss25,"Cute, colorful, comfy leggings for their spring/summer looks
Pants and Leggings Length: Full Length
Print: Printed","Do not bleach
Do not dry clean
Do not tumble dry
Iron on the reverse
Max temperature 85F/30C
Wash before first use
Wash similar colors together
Warm iron
Wash inside out.; Do not dry-clean; Maximum Temperature 40*C; Wash before first use; Wash similar colors together; Wash Inside Out; Tumble dry at lower temperature setting; Warm Iron; Iron on the reverse
: 95% Cotton 5% Elastane Fire
Safety: WARNING! Keep away from","12-18M, 24-36M, 18-24M, 6-9M, 3-6M, 0-3M, 9-12M",
